GL000194.1	3229	3659	Scramble_H4K16ac_rep1_peak_1	GL000194.1	1633	4194	p53KD_H4K16ac_rep1_peak_3
chr19	49452947	49454233	Scramble_H4K16ac_rep1_peak_6591	chr19	49453391	49453689	p53KD_H4K16ac_rep1_peak_7204
chr19	49677295	49677819	Scramble_H4K16ac_rep1_peak_6599	chr19	49677408	49677639	p53KD_H4K16ac_rep1_peak_7207
chr19	49929160	49929588	Scramble_H4K16ac_rep1_peak_6605	chr19	49929306	49929505	p53KD_H4K16ac_rep1_peak_7211
chr19	58385648	58387345	Scramble_H4K16ac_rep1_peak_6658	chr19	58386226	58386751	p53KD_H4K16ac_rep1_peak_7230
chr19	58573118	58573359	Scramble_H4K16ac_rep1_peak_6666	chr19	58573158	58573324	p53KD_H4K16ac_rep1_peak_7233
chr2	3604865	3606696	Scramble_H4K16ac_rep1_peak_6681	chr2	3605375	3605585	p53KD_H4K16ac_rep1_peak_7250
chr2	10120939	10122501	Scramble_H4K16ac_rep1_peak_6703	chr2	10120799	10121909	p53KD_H4K16ac_rep1_peak_7258
chr2	20584124	20585555	Scramble_H4K16ac_rep1_peak_6740	chr2	20584729	20585094	p53KD_H4K16ac_rep1_peak_7272
chr2	27217302	27217714	Scramble_H4K16ac_rep1_peak_6793	chr2	27217550	27217916	p53KD_H4K16ac_rep1_peak_7289
chr2	43226391	43227220	Scramble_H4K16ac_rep1_peak_6872	chr2	43227146	43227164	p53KD_H4K16ac_rep1_peak_7322
chr2	47042855	47044124	Scramble_H4K16ac_rep1_peak_6901	chr2	47042722	47042962	p53KD_H4K16ac_rep1_peak_7329
chr2	70086299	70087318	Scramble_H4K16ac_rep1_peak_6957	chr2	70086026	70087230	p53KD_H4K16ac_rep1_peak_7346
chr2	70141849	70143805	Scramble_H4K16ac_rep1_peak_6962	chr2	70142078	70142703	p53KD_H4K16ac_rep1_peak_7349
chr2	85418023	85419231	Scramble_H4K16ac_rep1_peak_7013	chr2	85418235	85418447	p53KD_H4K16ac_rep1_peak_7364
chr2	85437563	85438149	Scramble_H4K16ac_rep1_peak_7014	chr2	85437754	85438486	p53KD_H4K16ac_rep1_peak_7366
chr2	85538324	85540253	Scramble_H4K16ac_rep1_peak_7016	chr2	85538465	85539683	p53KD_H4K16ac_rep1_peak_7367
chr2	87419356	87419663	Scramble_H4K16ac_rep1_peak_7035	chr2	87418507	87419483	p53KD_H4K16ac_rep1_peak_7380
chr2	91504890	91506339	Scramble_H4K16ac_rep1_peak_7045	chr2	91505755	91507388	p53KD_H4K16ac_rep1_peak_7402
chr2	91510746	91510907	Scramble_H4K16ac_rep1_peak_7046	chr2	91508328	91511747	p53KD_H4K16ac_rep1_peak_7402
chr2	91517370	91517648	Scramble_H4K16ac_rep1_peak_7047	chr2	91516278	91518654	p53KD_H4K16ac_rep1_peak_7404
chr2	91521915	91521953	Scramble_H4K16ac_rep1_peak_7048	chr2	91520865	91521998	p53KD_H4K16ac_rep1_peak_7405
chr2	92235714	92236825	Scramble_H4K16ac_rep1_peak_7049	chr2	92234816	92237713	p53KD_H4K16ac_rep1_peak_7419
chr2	92273382	92274055	Scramble_H4K16ac_rep1_peak_7051	chr2	92273278	92274257	p53KD_H4K16ac_rep1_peak_7425
chr2	92296401	92297597	Scramble_H4K16ac_rep1_peak_7054	chr2	92294980	92297649	p53KD_H4K16ac_rep1_peak_7430
chr2	92300937	92302043	Scramble_H4K16ac_rep1_peak_7055	chr2	92300711	92301557	p53KD_H4K16ac_rep1_peak_7431
chr2	92304055	92304529	Scramble_H4K16ac_rep1_peak_7056	chr2	92304009	92305022	p53KD_H4K16ac_rep1_peak_7433
chr2	92313660	92317132	Scramble_H4K16ac_rep1_peak_7057	chr2	92312798	92324558	p53KD_H4K16ac_rep1_peak_7435
chr2	92321694	92324179	Scramble_H4K16ac_rep1_peak_7058	chr2	92312798	92324558	p53KD_H4K16ac_rep1_peak_7435
chr2	92355333	92356095	Scramble_H4K16ac_rep1_peak_7060	chr2	92353081	92357669	p53KD_H4K16ac_rep1_peak_7442
chr2	92367676	92369942	Scramble_H4K16ac_rep1_peak_7061	chr2	92365703	92368580	p53KD_H4K16ac_rep1_peak_7445
chr2	92372480	92372823	Scramble_H4K16ac_rep1_peak_7061	chr2	92372167	92373429	p53KD_H4K16ac_rep1_peak_7446
chr2	92374041	92374919	Scramble_H4K16ac_rep1_peak_7061	chr2	92374624	92375563	p53KD_H4K16ac_rep1_peak_7447
chr2	92377998	92378560	Scramble_H4K16ac_rep1_peak_7062	chr2	92377636	92378813	p53KD_H4K16ac_rep1_peak_7448
chr2	92386975	92387637	Scramble_H4K16ac_rep1_peak_7063	chr2	92386984	92387627	p53KD_H4K16ac_rep1_peak_7451
chr2	92409585	92410497	Scramble_H4K16ac_rep1_peak_7064	chr2	92408338	92409666	p53KD_H4K16ac_rep1_peak_7455
chr2	92411707	92411855	Scramble_H4K16ac_rep1_peak_7064	chr2	92411394	92414140	p53KD_H4K16ac_rep1_peak_7455
chr2	92430720	92431974	Scramble_H4K16ac_rep1_peak_7067	chr2	92429174	92431504	p53KD_H4K16ac_rep1_peak_7458
chr2	92438716	92440022	Scramble_H4K16ac_rep1_peak_7068	chr2	92436074	92440316	p53KD_H4K16ac_rep1_peak_7461
chr2	92454767	92455715	Scramble_H4K16ac_rep1_peak_7069	chr2	92454717	92457383	p53KD_H4K16ac_rep1_peak_7464
chr2	92463745	92465466	Scramble_H4K16ac_rep1_peak_7070	chr2	92463351	92466159	p53KD_H4K16ac_rep1_peak_7465
chr2	92487144	92487588	Scramble_H4K16ac_rep1_peak_7073	chr2	92486904	92488779	p53KD_H4K16ac_rep1_peak_7471
chr2	92489987	92492265	Scramble_H4K16ac_rep1_peak_7074	chr2	92490075	92492180	p53KD_H4K16ac_rep1_peak_7472
chr2	92519985	92520889	Scramble_H4K16ac_rep1_peak_7076	chr2	92520313	92521492	p53KD_H4K16ac_rep1_peak_7478
chr2	92525468	92526524	Scramble_H4K16ac_rep1_peak_7077	chr2	92524862	92528036	p53KD_H4K16ac_rep1_peak_7479
chr2	92544789	92546444	Scramble_H4K16ac_rep1_peak_7078	chr2	92544661	92547043	p53KD_H4K16ac_rep1_peak_7482
chr2	92550705	92551164	Scramble_H4K16ac_rep1_peak_7079	chr2	92549556	92554127	p53KD_H4K16ac_rep1_peak_7483
chr2	92552509	92552947	Scramble_H4K16ac_rep1_peak_7079	chr2	92549556	92554127	p53KD_H4K16ac_rep1_peak_7483
chr2	92555315	92556124	Scramble_H4K16ac_rep1_peak_7079	chr2	92555337	92557559	p53KD_H4K16ac_rep1_peak_7484
chr2	92560750	92562729	Scramble_H4K16ac_rep1_peak_7080	chr2	92561140	92568276	p53KD_H4K16ac_rep1_peak_7485
chr2	92564583	92565481	Scramble_H4K16ac_rep1_peak_7081	chr2	92561140	92568276	p53KD_H4K16ac_rep1_peak_7485
chr2	92595432	92596482	Scramble_H4K16ac_rep1_peak_7084	chr2	92595667	92597823	p53KD_H4K16ac_rep1_peak_7492
chr2	92618399	92618765	Scramble_H4K16ac_rep1_peak_7087	chr2	92617225	92619328	p53KD_H4K16ac_rep1_peak_7497
chr2	92622907	92623108	Scramble_H4K16ac_rep1_peak_7088	chr2	92622918	92624014	p53KD_H4K16ac_rep1_peak_7498
chr2	92624124	92625784	Scramble_H4K16ac_rep1_peak_7088	chr2	92625359	92625640	p53KD_H4K16ac_rep1_peak_7498
chr2	92652119	92653067	Scramble_H4K16ac_rep1_peak_7090	chr2	92652221	92655206	p53KD_H4K16ac_rep1_peak_7503
chr2	92657940	92658616	Scramble_H4K16ac_rep1_peak_7091	chr2	92657878	92658793	p53KD_H4K16ac_rep1_peak_7504
chr2	92675416	92675606	Scramble_H4K16ac_rep1_peak_7092	chr2	92675459	92675766	p53KD_H4K16ac_rep1_peak_7510
chr2	92724565	92724698	Scramble_H4K16ac_rep1_peak_7094	chr2	92723863	92727206	p53KD_H4K16ac_rep1_peak_7520
chr2	92795012	92796713	Scramble_H4K16ac_rep1_peak_7099	chr2	92795047	92795849	p53KD_H4K16ac_rep1_peak_7534
chr2	92813312	92813499	Scramble_H4K16ac_rep1_peak_7100	chr2	92811151	92813783	p53KD_H4K16ac_rep1_peak_7538
chr2	92824471	92824729	Scramble_H4K16ac_rep1_peak_7101	chr2	92823250	92826032	p53KD_H4K16ac_rep1_peak_7539
chr2	92837743	92838714	Scramble_H4K16ac_rep1_peak_7102	chr2	92836709	92838920	p53KD_H4K16ac_rep1_peak_7543
chr2	92846883	92847153	Scramble_H4K16ac_rep1_peak_7103	chr2	92845513	92849341	p53KD_H4K16ac_rep1_peak_7544
chr2	92938764	92939168	Scramble_H4K16ac_rep1_peak_7107	chr2	92938157	92939097	p53KD_H4K16ac_rep1_peak_7559
chr2	92951586	92952955	Scramble_H4K16ac_rep1_peak_7108	chr2	92951593	92954239	p53KD_H4K16ac_rep1_peak_7560
chr2	92965653	92966316	Scramble_H4K16ac_rep1_peak_7109	chr2	92966116	92966443	p53KD_H4K16ac_rep1_peak_7562
chr2	93087419	93087887	Scramble_H4K16ac_rep1_peak_7113	chr2	93087025	93087538	p53KD_H4K16ac_rep1_peak_7578
chr2	93100014	93100288	Scramble_H4K16ac_rep1_peak_7114	chr2	93099966	93100604	p53KD_H4K16ac_rep1_peak_7579
chr2	93118939	93120308	Scramble_H4K16ac_rep1_peak_7115	chr2	93118201	93120147	p53KD_H4K16ac_rep1_peak_7580
chr2	93157533	93158557	Scramble_H4K16ac_rep1_peak_7118	chr2	93157226	93158896	p53KD_H4K16ac_rep1_peak_7586
chr2	93290048	93290346	Scramble_H4K16ac_rep1_peak_7123	chr2	93288778	93291290	p53KD_H4K16ac_rep1_peak_7603
chr2	93346574	93347154	Scramble_H4K16ac_rep1_peak_7125	chr2	93346289	93348030	p53KD_H4K16ac_rep1_peak_7608
chr2	93414986	93415733	Scramble_H4K16ac_rep1_peak_7126	chr2	93415545	93415816	p53KD_H4K16ac_rep1_peak_7614
chr2	93454538	93455388	Scramble_H4K16ac_rep1_peak_7127	chr2	93454788	93454855	p53KD_H4K16ac_rep1_peak_7621
chr2	93539450	93540252	Scramble_H4K16ac_rep1_peak_7129	chr2	93538242	93540185	p53KD_H4K16ac_rep1_peak_7631
chr2	93557149	93557289	Scramble_H4K16ac_rep1_peak_7130	chr2	93557161	93557325	p53KD_H4K16ac_rep1_peak_7633
chr2	93585752	93586063	Scramble_H4K16ac_rep1_peak_7131	chr2	93585737	93589407	p53KD_H4K16ac_rep1_peak_7637
chr2	93935349	93935566	Scramble_H4K16ac_rep1_peak_7136	chr2	93935369	93935740	p53KD_H4K16ac_rep1_peak_7680
chr2	94160991	94161025	Scramble_H4K16ac_rep1_peak_7138	chr2	94159752	94161578	p53KD_H4K16ac_rep1_peak_7702
chr2	96868169	96869068	Scramble_H4K16ac_rep1_peak_7160	chr2	96868920	96869130	p53KD_H4K16ac_rep1_peak_7711
chr2	109897893	109899041	Scramble_H4K16ac_rep1_peak_7209	chr2	109898495	109899045	p53KD_H4K16ac_rep1_peak_7731
chr2	110383659	110384930	Scramble_H4K16ac_rep1_peak_7215	chr2	110384278	110384913	p53KD_H4K16ac_rep1_peak_7734
chr2	113583706	113584471	Scramble_H4K16ac_rep1_peak_7263	chr2	113584151	113584461	p53KD_H4K16ac_rep1_peak_7756
chr2	129809694	129811117	Scramble_H4K16ac_rep1_peak_7304	chr2	129810698	129810985	p53KD_H4K16ac_rep1_peak_7778
chr2	134668933	134669244	Scramble_H4K16ac_rep1_peak_7325	chr2	134668921	134669178	p53KD_H4K16ac_rep1_peak_7793
chr2	170694618	170695265	Scramble_H4K16ac_rep1_peak_7356	chr2	170694802	170695212	p53KD_H4K16ac_rep1_peak_7813
chr2	170973104	170974294	Scramble_H4K16ac_rep1_peak_7359	chr2	170973481	170973824	p53KD_H4K16ac_rep1_peak_7815
chr2	202265718	202266300	Scramble_H4K16ac_rep1_peak_7432	chr2	202265203	202266176	p53KD_H4K16ac_rep1_peak_7851
chr2	207166562	207166812	Scramble_H4K16ac_rep1_peak_7443	chr2	207166253	207166592	p53KD_H4K16ac_rep1_peak_7857
chr2	231463879	231465035	Scramble_H4K16ac_rep1_peak_7500	chr2	231464250	231465045	p53KD_H4K16ac_rep1_peak_7881
chr2	231612063	231615064	Scramble_H4K16ac_rep1_peak_7503	chr2	231614407	231615556	p53KD_H4K16ac_rep1_peak_7883
chr2	231666561	231667071	Scramble_H4K16ac_rep1_peak_7504	chr2	231666653	231666876	p53KD_H4K16ac_rep1_peak_7886
chr2	231680163	231682018	Scramble_H4K16ac_rep1_peak_7506	chr2	231680177	231680389	p53KD_H4K16ac_rep1_peak_7888
chr2	240559677	240560702	Scramble_H4K16ac_rep1_peak_7560	chr2	240560365	240560679	p53KD_H4K16ac_rep1_peak_7907
chr2	241701349	241701998	Scramble_H4K16ac_rep1_peak_7575	chr2	241701246	241701743	p53KD_H4K16ac_rep1_peak_7913
chr20	2664094	2664485	Scramble_H4K16ac_rep1_peak_7594	chr20	2664391	2664715	p53KD_H4K16ac_rep1_peak_7927
chr20	3807610	3808154	Scramble_H4K16ac_rep1_peak_7606	chr20	3807160	3807637	p53KD_H4K16ac_rep1_peak_7934
chr20	26439361	26440093	Scramble_H4K16ac_rep1_peak_7660	chr20	26438209	26440344	p53KD_H4K16ac_rep1_peak_7969
chr20	26449045	26452196	Scramble_H4K16ac_rep1_peak_7661	chr20	26448674	26453177	p53KD_H4K16ac_rep1_peak_7971
chr20	26455014	26458799	Scramble_H4K16ac_rep1_peak_7662	chr20	26454355	26459011	p53KD_H4K16ac_rep1_peak_7972
chr20	26467755	26470567	Scramble_H4K16ac_rep1_peak_7663	chr20	26464718	26475268	p53KD_H4K16ac_rep1_peak_7974
chr20	26472680	26474500	Scramble_H4K16ac_rep1_peak_7664	chr20	26464718	26475268	p53KD_H4K16ac_rep1_peak_7974
chr20	26479283	26480191	Scramble_H4K16ac_rep1_peak_7665	chr20	26477763	26480395	p53KD_H4K16ac_rep1_peak_7975
chr20	26483359	26483535	Scramble_H4K16ac_rep1_peak_7666	chr20	26482940	26484733	p53KD_H4K16ac_rep1_peak_7976
chr20	26493182	26494033	Scramble_H4K16ac_rep1_peak_7667	chr20	26492185	26494027	p53KD_H4K16ac_rep1_peak_7978
chr20	26497740	26500510	Scramble_H4K16ac_rep1_peak_7668	chr20	26495848	26509782	p53KD_H4K16ac_rep1_peak_7979
chr20	26501574	26508877	Scramble_H4K16ac_rep1_peak_7669	chr20	26495848	26509782	p53KD_H4K16ac_rep1_peak_7979
chr20	26539749	26540997	Scramble_H4K16ac_rep1_peak_7670	chr20	26537894	26543773	p53KD_H4K16ac_rep1_peak_7987
chr20	26542133	26542457	Scramble_H4K16ac_rep1_peak_7671	chr20	26537894	26543773	p53KD_H4K16ac_rep1_peak_7987
chr20	26582471	26582701	Scramble_H4K16ac_rep1_peak_7672	chr20	26580675	26583468	p53KD_H4K16ac_rep1_peak_7994
chr20	26603185	26607952	Scramble_H4K16ac_rep1_peak_7673	chr20	26600431	26608001	p53KD_H4K16ac_rep1_peak_7995
chr20	26642134	26643038	Scramble_H4K16ac_rep1_peak_7675	chr20	26641528	26643813	p53KD_H4K16ac_rep1_peak_8002
chr20	26659222	26660024	Scramble_H4K16ac_rep1_peak_7676	chr20	26658968	26662832	p53KD_H4K16ac_rep1_peak_8007
chr20	26683752	26685697	Scramble_H4K16ac_rep1_peak_7677	chr20	26682807	26685972	p53KD_H4K16ac_rep1_peak_8013
chr20	26686831	26688355	Scramble_H4K16ac_rep1_peak_7678	chr20	26686808	26689002	p53KD_H4K16ac_rep1_peak_8014
chr20	26704981	26705366	Scramble_H4K16ac_rep1_peak_7679	chr20	26704601	26704996	p53KD_H4K16ac_rep1_peak_8019
chr20	26724570	26725459	Scramble_H4K16ac_rep1_peak_7680	chr20	26722841	26725573	p53KD_H4K16ac_rep1_peak_8025
chr20	26756272	26757469	Scramble_H4K16ac_rep1_peak_7681	chr20	26754368	26758278	p53KD_H4K16ac_rep1_peak_8034
chr20	26764307	26764765	Scramble_H4K16ac_rep1_peak_7682	chr20	26763338	26768148	p53KD_H4K16ac_rep1_peak_8036
chr20	26767980	26768371	Scramble_H4K16ac_rep1_peak_7683	chr20	26763338	26768148	p53KD_H4K16ac_rep1_peak_8036
chr20	26773400	26774056	Scramble_H4K16ac_rep1_peak_7684	chr20	26773862	26774329	p53KD_H4K16ac_rep1_peak_8038
chr20	26783329	26784738	Scramble_H4K16ac_rep1_peak_7685	chr20	26782709	26785077	p53KD_H4K16ac_rep1_peak_8040
chr20	26818818	26820254	Scramble_H4K16ac_rep1_peak_7689	chr20	26818023	26820845	p53KD_H4K16ac_rep1_peak_8050
chr20	26833347	26834216	Scramble_H4K16ac_rep1_peak_7690	chr20	26831940	26835174	p53KD_H4K16ac_rep1_peak_8053
chr20	26848977	26849206	Scramble_H4K16ac_rep1_peak_7691	chr20	26848505	26851952	p53KD_H4K16ac_rep1_peak_8057
chr20	26850823	26851228	Scramble_H4K16ac_rep1_peak_7692	chr20	26848505	26851952	p53KD_H4K16ac_rep1_peak_8057
chr20	26866546	26869347	Scramble_H4K16ac_rep1_peak_7693	chr20	26865196	26869565	p53KD_H4K16ac_rep1_peak_8062
chr20	26884632	26884802	Scramble_H4K16ac_rep1_peak_7695	chr20	26882023	26885064	p53KD_H4K16ac_rep1_peak_8065
chr20	26899174	26899990	Scramble_H4K16ac_rep1_peak_7696	chr20	26898436	26902979	p53KD_H4K16ac_rep1_peak_8067
chr20	26912508	26913396	Scramble_H4K16ac_rep1_peak_7697	chr20	26909736	26912920	p53KD_H4K16ac_rep1_peak_8069
chr20	26923942	26924052	Scramble_H4K16ac_rep1_peak_7698	chr20	26920231	26925290	p53KD_H4K16ac_rep1_peak_8071
chr20	26940061	26940772	Scramble_H4K16ac_rep1_peak_7699	chr20	26940033	26946930	p53KD_H4K16ac_rep1_peak_8077
chr20	26943219	26944367	Scramble_H4K16ac_rep1_peak_7700	chr20	26940033	26946930	p53KD_H4K16ac_rep1_peak_8077
chr20	26957247	26959658	Scramble_H4K16ac_rep1_peak_7701	chr20	26956241	26959943	p53KD_H4K16ac_rep1_peak_8078
chr20	26966405	26968064	Scramble_H4K16ac_rep1_peak_7702	chr20	26965367	26968200	p53KD_H4K16ac_rep1_peak_8080
chr20	26994877	26995084	Scramble_H4K16ac_rep1_peak_7703	chr20	26993806	26995731	p53KD_H4K16ac_rep1_peak_8089
chr20	27022456	27024969	Scramble_H4K16ac_rep1_peak_7704	chr20	27021540	27026184	p53KD_H4K16ac_rep1_peak_8096
chr20	27030648	27031289	Scramble_H4K16ac_rep1_peak_7706	chr20	27029724	27032232	p53KD_H4K16ac_rep1_peak_8098
chr20	27041244	27043345	Scramble_H4K16ac_rep1_peak_7707	chr20	27040519	27044734	p53KD_H4K16ac_rep1_peak_8100
chr20	27054528	27055183	Scramble_H4K16ac_rep1_peak_7708	chr20	27054355	27055613	p53KD_H4K16ac_rep1_peak_8103
chr20	27061267	27061734	Scramble_H4K16ac_rep1_peak_7709	chr20	27060724	27061542	p53KD_H4K16ac_rep1_peak_8105
chr20	27092968	27093291	Scramble_H4K16ac_rep1_peak_7710	chr20	27091208	27095290	p53KD_H4K16ac_rep1_peak_8112
chr20	27099251	27100160	Scramble_H4K16ac_rep1_peak_7711	chr20	27097913	27102696	p53KD_H4K16ac_rep1_peak_8113
chr20	27110957	27112042	Scramble_H4K16ac_rep1_peak_7712	chr20	27110921	27111022	p53KD_H4K16ac_rep1_peak_8115
chr20	27110957	27112042	Scramble_H4K16ac_rep1_peak_7712	chr20	27111921	27115244	p53KD_H4K16ac_rep1_peak_8116
chr20	27128021	27131181	Scramble_H4K16ac_rep1_peak_7713	chr20	27127874	27131899	p53KD_H4K16ac_rep1_peak_8120
chr20	27139075	27139518	Scramble_H4K16ac_rep1_peak_7714	chr20	27137587	27139127	p53KD_H4K16ac_rep1_peak_8122
chr20	27143457	27143874	Scramble_H4K16ac_rep1_peak_7715	chr20	27140800	27143945	p53KD_H4K16ac_rep1_peak_8123
chr20	27155258	27155370	Scramble_H4K16ac_rep1_peak_7716	chr20	27153026	27155592	p53KD_H4K16ac_rep1_peak_8124
chr20	27160692	27162464	Scramble_H4K16ac_rep1_peak_7717	chr20	27158370	27162479	p53KD_H4K16ac_rep1_peak_8126
chr20	27173970	27174423	Scramble_H4K16ac_rep1_peak_7719	chr20	27172573	27175264	p53KD_H4K16ac_rep1_peak_8130
chr20	27180700	27181313	Scramble_H4K16ac_rep1_peak_7720	chr20	27180774	27184613	p53KD_H4K16ac_rep1_peak_8133
chr20	27212563	27214634	Scramble_H4K16ac_rep1_peak_7721	chr20	27211876	27221659	p53KD_H4K16ac_rep1_peak_8141
chr20	27217627	27219527	Scramble_H4K16ac_rep1_peak_7722	chr20	27211876	27221659	p53KD_H4K16ac_rep1_peak_8141
chr20	27239375	27239631	Scramble_H4K16ac_rep1_peak_7723	chr20	27236828	27239697	p53KD_H4K16ac_rep1_peak_8148
chr20	27254661	27255731	Scramble_H4K16ac_rep1_peak_7725	chr20	27253837	27256418	p53KD_H4K16ac_rep1_peak_8152
chr20	27258586	27259118	Scramble_H4K16ac_rep1_peak_7726	chr20	27257933	27260568	p53KD_H4K16ac_rep1_peak_8153
chr20	27267677	27268033	Scramble_H4K16ac_rep1_peak_7727	chr20	27263787	27269288	p53KD_H4K16ac_rep1_peak_8154
chr20	27272319	27272856	Scramble_H4K16ac_rep1_peak_7728	chr20	27270707	27272527	p53KD_H4K16ac_rep1_peak_8155
chr20	27298869	27300580	Scramble_H4K16ac_rep1_peak_7730	chr20	27298843	27300644	p53KD_H4K16ac_rep1_peak_8161
chr20	27318268	27319420	Scramble_H4K16ac_rep1_peak_7731	chr20	27316391	27321307	p53KD_H4K16ac_rep1_peak_8165
chr20	27325278	27325636	Scramble_H4K16ac_rep1_peak_7732	chr20	27325287	27326822	p53KD_H4K16ac_rep1_peak_8167
chr20	27336952	27338084	Scramble_H4K16ac_rep1_peak_7733	chr20	27336748	27339208	p53KD_H4K16ac_rep1_peak_8170
chr20	27344394	27344909	Scramble_H4K16ac_rep1_peak_7734	chr20	27343806	27345387	p53KD_H4K16ac_rep1_peak_8172
chr20	27352294	27354293	Scramble_H4K16ac_rep1_peak_7735	chr20	27352305	27356260	p53KD_H4K16ac_rep1_peak_8175
chr20	27370787	27371133	Scramble_H4K16ac_rep1_peak_7737	chr20	27370353	27371575	p53KD_H4K16ac_rep1_peak_8179
chr20	27409328	27410878	Scramble_H4K16ac_rep1_peak_7738	chr20	27409187	27410511	p53KD_H4K16ac_rep1_peak_8189
chr20	27424435	27425735	Scramble_H4K16ac_rep1_peak_7739	chr20	27423587	27432202	p53KD_H4K16ac_rep1_peak_8192
chr20	27427124	27429913	Scramble_H4K16ac_rep1_peak_7740	chr20	27423587	27432202	p53KD_H4K16ac_rep1_peak_8192
chr20	27452451	27453652	Scramble_H4K16ac_rep1_peak_7741	chr20	27451848	27454935	p53KD_H4K16ac_rep1_peak_8198
chr20	27457703	27458781	Scramble_H4K16ac_rep1_peak_7742	chr20	27456543	27461485	p53KD_H4K16ac_rep1_peak_8199
chr20	27464526	27465743	Scramble_H4K16ac_rep1_peak_7743	chr20	27464364	27469953	p53KD_H4K16ac_rep1_peak_8200
chr20	27468119	27469944	Scramble_H4K16ac_rep1_peak_7744	chr20	27464364	27469953	p53KD_H4K16ac_rep1_peak_8200
chr20	27522706	27523369	Scramble_H4K16ac_rep1_peak_7745	chr20	27519682	27523617	p53KD_H4K16ac_rep1_peak_8215
chr20	27539289	27541096	Scramble_H4K16ac_rep1_peak_7746	chr20	27538172	27541658	p53KD_H4K16ac_rep1_peak_8221
chr20	27543789	27545159	Scramble_H4K16ac_rep1_peak_7747	chr20	27542864	27546055	p53KD_H4K16ac_rep1_peak_8221
chr20	27570730	27572000	Scramble_H4K16ac_rep1_peak_7748	chr20	27570096	27574351	p53KD_H4K16ac_rep1_peak_8229
chr20	27584176	27584747	Scramble_H4K16ac_rep1_peak_7749	chr20	27583301	27586395	p53KD_H4K16ac_rep1_peak_8232
chr20	27606249	27609026	Scramble_H4K16ac_rep1_peak_7750	chr20	27606583	27609423	p53KD_H4K16ac_rep1_peak_8238
chr20	27617703	27619664	Scramble_H4K16ac_rep1_peak_7751	chr20	27617851	27622145	p53KD_H4K16ac_rep1_peak_8240
chr20	27630928	27631389	Scramble_H4K16ac_rep1_peak_7752	chr20	27630363	27631665	p53KD_H4K16ac_rep1_peak_8243
chr20	27633179	27633407	Scramble_H4K16ac_rep1_peak_7753	chr20	27633301	27633631	p53KD_H4K16ac_rep1_peak_8244
chr20	27647415	27649525	Scramble_H4K16ac_rep1_peak_7754	chr20	27647757	27649653	p53KD_H4K16ac_rep1_peak_8248
chr20	27654090	27654841	Scramble_H4K16ac_rep1_peak_7755	chr20	27654214	27654422	p53KD_H4K16ac_rep1_peak_8250
chr20	27655916	27656250	Scramble_H4K16ac_rep1_peak_7755	chr20	27656064	27657307	p53KD_H4K16ac_rep1_peak_8251
chr20	27664434	27665635	Scramble_H4K16ac_rep1_peak_7756	chr20	27663948	27670102	p53KD_H4K16ac_rep1_peak_8253
chr20	27668003	27669777	Scramble_H4K16ac_rep1_peak_7757	chr20	27663948	27670102	p53KD_H4K16ac_rep1_peak_8253
chr20	27672577	27673172	Scramble_H4K16ac_rep1_peak_7758	chr20	27671361	27672775	p53KD_H4K16ac_rep1_peak_8254
chr20	27679864	27681144	Scramble_H4K16ac_rep1_peak_7759	chr20	27678180	27684145	p53KD_H4K16ac_rep1_peak_8256
chr20	27692438	27693342	Scramble_H4K16ac_rep1_peak_7760	chr20	27690421	27693730	p53KD_H4K16ac_rep1_peak_8257
chr20	27697410	27697803	Scramble_H4K16ac_rep1_peak_7761	chr20	27696920	27699531	p53KD_H4K16ac_rep1_peak_8258
chr20	27698861	27699160	Scramble_H4K16ac_rep1_peak_7762	chr20	27696920	27699531	p53KD_H4K16ac_rep1_peak_8258
chr20	27714023	27714460	Scramble_H4K16ac_rep1_peak_7764	chr20	27713276	27714481	p53KD_H4K16ac_rep1_peak_8261
chr20	27752820	27753951	Scramble_H4K16ac_rep1_peak_7767	chr20	27749276	27755390	p53KD_H4K16ac_rep1_peak_8272
chr20	27760619	27762130	Scramble_H4K16ac_rep1_peak_7768	chr20	27761238	27763195	p53KD_H4K16ac_rep1_peak_8274
chr20	27774437	27774712	Scramble_H4K16ac_rep1_peak_7769	chr20	27770991	27775545	p53KD_H4K16ac_rep1_peak_8276
chr20	27833690	27834549	Scramble_H4K16ac_rep1_peak_7770	chr20	27832428	27835565	p53KD_H4K16ac_rep1_peak_8292
chr20	27843011	27844533	Scramble_H4K16ac_rep1_peak_7771	chr20	27842134	27845125	p53KD_H4K16ac_rep1_peak_8295
chr20	27850624	27852459	Scramble_H4K16ac_rep1_peak_7772	chr20	27850246	27852854	p53KD_H4K16ac_rep1_peak_8297
chr20	27855294	27855559	Scramble_H4K16ac_rep1_peak_7773	chr20	27854977	27855653	p53KD_H4K16ac_rep1_peak_8298
chr20	27859765	27865820	Scramble_H4K16ac_rep1_peak_7774	chr20	27858668	27865836	p53KD_H4K16ac_rep1_peak_8299
chr20	27926954	27929463	Scramble_H4K16ac_rep1_peak_7775	chr20	27926865	27929944	p53KD_H4K16ac_rep1_peak_8315
chr20	27931560	27931894	Scramble_H4K16ac_rep1_peak_7776	chr20	27931768	27935514	p53KD_H4K16ac_rep1_peak_8316
chr20	27934209	27934407	Scramble_H4K16ac_rep1_peak_7777	chr20	27931768	27935514	p53KD_H4K16ac_rep1_peak_8316
